St,Re,Fr,R_moment_1,R_moment_2,R_moment_3,R_moment_4,mean,variance,sd,skewness,kurtosis
0.3,90,Inf,0.076945,0.32652,3.4052,41.042,0.076945,0.32059946697499997,0.566215035984563,18.34832359930204,389.21850022526365
0.5,224,0.3,0.0025071,0.035152,0.64378,11.801,0.0025071,0.035145714449590006,0.18747190309374365,97.66760634310997,9548.528490645027
0.5,90,0.3,0.084773,0.49728,6.0317,83.287,0.084773,0.490093538471,0.7000668100053022,17.21504320856454,338.3255704367268
0.8,398,Inf,3.7399e-4,0.0062457,0.12542,2.5193,3.7399e-4,0.0062455601314799,0.07902885632147222,254.08875196863193,64580.99835288136
0.2,398,Inf,3.3521e-4,0.0054505,0.11408,2.3884,3.3521e-4,0.0054503876342559,0.0738267406449445,283.4964075347563,80394.15355991462
0.7,90,0.052,0.13173,736.94,5870000,46700000000,0.13173,736.9226472071,27.14631922023868,293.41593691121926,85989.27933829902
2,398,0.052,3.9644e-4,0.006104,0.11209,2.0593,3.9644e-4,0.0061038428353264,0.07812709411802285,235.03564274337398,55268.2161939387
0.7,224,0.3,0.0026087,0.036438,0.65445,11.765,0.0026087,0.03643119468431,0.19086957506189928,94.07562163809881,8859.16924103069
0.6,224,0.052,0.0027939,0.30594,43.745,6255.4,0.0027939,0.30593219412279,0.5531113758754108,258.5027635883027,66829.89537967452
0.3,398,0.052,3.0066e-4,0.0043488,0.083446,1.6023,3.0066e-4,0.0043487096035644,0.0659447465956493,290.9675098495134,84721.92533554755
0.9,224,0.052,0.0030541,0.35419,51.795,7575.8,0.0030541,0.35418067247319,0.5951308028267316,245.71028700111032,60386.868770096764
0.8,224,0.3,0.0026816,0.037714,0.67549,12.112,0.0026816,0.037706809021439996,0.19418241172011433,92.21342784425944,8513.663460469545
0.2,224,0.3,0.0024695,0.034818,0.67088,12.939,0.0024695,0.03481190156975,0.1865794778901206,103.24908904538778,10671.433755682565
3,398,0.052,4.0188e-4,0.0054492,0.091871,1.5565,4.0188e-4,0.0054490384924656,0.07381760286317621,228.38499788309457,52416.517805191725
0.9,90,0.052,0.14184,870.19,7250000,60400000000,0.14184,870.1698814144,29.498642026615396,282.42930313883573,79762.59363990919
0.4,398,Inf,3.6977e-4,0.0064986,0.13933,2.988,3.6977e-4,0.0064984632701471,0.08061304652565303,265.9537776224484,70750.46567148053
0.2,90,0.3,0.077985,0.25598,2.0965,20.849,0.077985,0.24989833977499998,0.4998983294380968,16.31043376790339,323.53102888799697
